lon.to,lat.to,lon.from,lat.from,from,to,distance,from_population,from_pop_ratio,from_num_cars,to_population,to_pop_ratio,to_num_cars,cost,from.short,to.short
-87.6297982,41.8781136,-87.6297982,41.8781136,"Chicago, Illinois","Chicago, Illinois",0,9458539,0.15059141575312338,602,9458539,0.15059141575312338,602,100,Chicago,Chicago
-96.79698789999999,32.7766642,-87.6297982,41.8781136,"Chicago, Illinois","Dallas, Texas",967.3122524,9458539,0.15059141575312338,602,7573136,0.12057351266733116,482,566.5246582872121,Chicago,Dallas
-95.3698028,29.7604267,-87.6297982,41.8781136,"Chicago, Illinois","Houston, Texas",1082.1817708,9458539,0.15059141575312338,602,7066141,0.11250153719313215,450,593.4479693240211,Chicago,Houston
-77.0368707,38.9071923,-87.6297982,41.8781136,"Chicago, Illinois","Washington, District of Columbia",700.2040838,9458539,0.15059141575312338,602,6280487,0.09999297237650409,400,496.9205447630546,Chicago,Washington
-74.0059728,40.7127753,-96.79698789999999,32.7766642,"Dallas, Texas","New York, New York",1556.7542718000002,7573136,0.12057351266733116,482,19216182,0.30594493005206047,1224,691.8358819427899,Dallas,New York
-118.2436849,34.0522342,-96.79698789999999,32.7766642,"Dallas, Texas","Los Angeles, California",1436.0566428000002,7573136,0.12057351266733116,482,13214799,0.21039563195784877,842,668.4300701317621,Dallas,Los Angeles
-87.6297982,41.8781136,-96.79698789999999,32.7766642,"Dallas, Texas","Chicago, Illinois",966.6945808,7573136,0.12057351266733116,482,9458539,0.15059141575312338,602,566.3756862015857,Dallas,Chicago
-96.79698789999999,32.7766642,-96.79698789999999,32.7766642,"Dallas, Texas","Dallas, Texas",0,7573136,0.12057351266733116,482,7573136,0.12057351266733116,482,100,Dallas,Dallas
-95.3698028,29.7604267,-96.79698789999999,32.7766642,"Dallas, Texas","Houston, Texas",239.2619918,7573136,0.12057351266733116,482,7066141,0.11250153719313215,450,332.0214389986408,Dallas,Houston
-77.0368707,38.9071923,-96.79698789999999,32.7766642,"Dallas, Texas","Washington, District of Columbia",1328.2555494,7573136,0.12057351266733116,482,6280487,0.09999297237650409,400,646.6786063264228,Dallas,Washington
-74.0059728,40.7127753,-95.3698028,29.7604267,"Houston, Texas","New York, New York",1636.9658266000001,7066141,0.11250153719313215,450,19216182,0.30594493005206047,1224,706.8915150049472,Houston,New York
-118.2436849,34.0522342,-95.3698028,29.7604267,"Houston, Texas","Los Angeles, California",1546.1221178,7066141,0.11250153719313215,450,13214799,0.21039563195784877,842,689.8113906199168,Houston,Los Angeles
-87.6297982,41.8781136,-95.3698028,29.7604267,"Houston, Texas","Chicago, Illinois",1081.7809678,7066141,0.11250153719313215,450,9458539,0.15059141575312338,602,593.3565827624072,Houston,Chicago
-96.79698789999999,32.7766642,-95.3698028,29.7604267,"Houston, Texas","Dallas, Texas",239.139576,7066141,0.11250153719313215,450,7573136,0.12057351266733116,482,331.96207577964117,Houston,Dallas
-95.3698028,29.7604267,-95.3698028,29.7604267,"Houston, Texas","Houston, Texas",0,7066141,0.11250153719313215,450,7066141,0.11250153719313215,450,100,Houston,Houston
-77.0368707,38.9071923,-95.3698028,29.7604267,"Houston, Texas","Washington, District of Columbia",1408.4671042,7066141,0.11250153719313215,450,6280487,0.09999297237650409,400,662.9432462024924,Houston,Washington
-74.0059728,40.7127753,-77.0368707,38.9071923,"Washington, District of Columbia","New York, New York",231.80332760000002,6280487,0.09999297237650409,400,19216182,0.30594493005206047,1224,328.3763313261687,Washington,New York
